xe	re	ue	pe	Ee
0.288	3.857	0.92	10.333	7.120762873
0.29	3.857	0.92	10.333	7.120762873
0.292	3.857	0.92	10.333	7.120762873
0.294	3.857	0.92	10.333	7.120762873
0.296	3.857	0.92	10.333	7.120762873
0.298	3.857	0.92	10.333	7.120762873
0.3	3.857	0.92	10.333	7.120762873
0.302	3.857	0.92	10.333	7.120762873
0.304	3.857	0.92	10.333	7.120762873
0.306	3.857	0.92	10.333	7.120762873
0.308	3.857	0.92	10.333	7.120762873
0.31	3.857	0.92	10.333	7.120762873
0.312	3.857	0.92	10.333	7.120762873
0.314	3.857	0.92	10.333	7.120762873
0.316	3.857	0.92	10.333	7.120762873
0.318	3.857	0.92	10.333	7.120762873
0.32	3.857	0.92	10.333	7.120762873
0.322	3.857	0.92	10.333	7.120762873
0.324	3.857	0.92	10.333	7.120762873
0.326	3.857	0.92	10.333	7.120762873
0.328	3.857	0.92	10.333	7.120762873
0.33	3.857	0.92	10.333	7.120762873
0.332	3.857	0.92	10.333	7.120762873
0.334	3.857	0.92	10.333	7.120762873
0.336	3.857	0.92	10.333	7.120762873
0.338	3.857	0.92	10.333	7.120762873
0.34	3.857	0.92	10.333	7.120762873
0.342	3.857	0.92	10.333	7.120762873
0.344	3.857	0.92	10.333	7.120762873
0.346	3.857	0.92	10.333	7.120762873
0.348	3.851489232	0.922768619	10.31233703	7.119484481
0.35	3.829436571	0.93387973	10.2297676	7.114442124
0.352	3.80748504	0.944990841	10.1477655	7.10954086
0.354	3.785634291	0.956101953	10.06632748	7.10478069
0.356	3.763883977	0.967213064	9.985450285	7.100161613
0.358	3.742233751	0.978324175	9.905130707	7.09568363
0.36	3.720683267	0.989435286	9.825365536	7.09134674
0.362	3.69923218	1.000546397	9.746151578	7.087150944
0.364	3.677880146	1.011657508	9.667485656	7.083096241
0.366	3.656626821	1.022768619	9.589364606	7.079182632
0.368	3.635471864	1.03387973	9.51178528	7.075410116
0.37	3.614414931	1.044990841	9.434744544	7.071778694
0.372	3.593455682	1.056101953	9.358239277	7.068288365
0.374	3.572593777	1.067213064	9.282266376	7.06493913
0.376	3.551828876	1.078324175	9.206822749	7.061730988
0.378	3.531160641	1.089435286	9.13190532	7.058663939
0.38	3.510588733	1.100546397	9.057511027	7.055737984
0.382	3.490112815	1.111657508	8.983636823	7.052953123
0.384	3.469732552	1.122768619	8.910279673	7.050309355
0.386	3.449447608	1.13387973	8.837436559	7.04780668
0.388	3.429257647	1.144990841	8.765104476	7.045445099
0.39	3.409162336	1.156101953	8.693280432	7.043224611
0.392	3.389161343	1.167213064	8.62196145	7.041145217
0.394	3.369254333	1.178324175	8.551144567	7.039206916
0.396	3.349440976	1.189435286	8.480826835	7.037409709
0.398	3.329720941	1.200546397	8.411005317	7.035753595
0.4	3.310093899	1.211657508	8.341677092	7.034238575
0.402	3.290559518	1.222768619	8.272839252	7.032864648
0.404	3.271117472	1.23387973	8.204488904	7.031631815
0.406	3.251767432	1.244990841	8.136623167	7.030540075
0.408	3.232509072	1.256101953	8.069239175	7.029589429
0.41	3.213342065	1.267213064	8.002334073	7.028779876
0.412	3.194266085	1.278324175	7.935905024	7.028111417
0.414	3.175280809	1.289435286	7.8699492	7.027584051
0.416	3.156385913	1.300546397	7.80446379	7.027197778
0.418	3.137581073	1.311657508	7.739445993	7.026952599
0.42	3.118865967	1.322768619	7.674893024	7.026848514
0.422	3.100240273	1.33387973	7.610802111	7.026885522
0.424	3.081703671	1.344990841	7.547170493	7.027063623
0.426	3.063255841	1.356101953	7.483995426	7.027382818
0.428	3.044896463	1.367213064	7.421274175	7.027843106
0.43	3.02662522	1.378324175	7.359004021	7.028444488
0.432	3.008441793	1.389435286	7.297182257	7.029186964
0.434	2.990345865	1.400546397	7.235806189	7.030070532
0.436	2.972337121	1.411657508	7.174873136	7.031095195
0.438	2.954415244	1.422768619	7.114380431	7.03226095
0.44	2.936579921	1.43387973	7.054325418	7.0335678
0.442	2.918830837	1.444990841	6.994705455	7.035015742
0.444	2.901167679	1.456101953	6.935517912	7.036604779
0.446	2.883590135	1.467213064	6.876760173	7.038334908
0.448	2.866097894	1.478324175	6.818429633	7.040206131
0.45	2.848690643	1.489435286	6.760523702	7.042218448
0.452	2.831368074	1.500546397	6.7030398	7.044371858
0.454	2.814129877	1.511657508	6.645975361	7.046666362
0.456	2.796975744	1.522768619	6.589327831	7.049101959
0.458	2.779905366	1.53387973	6.533094669	7.051678649
0.46	2.762918436	1.544990841	6.477273346	7.054396433
0.462	2.746014648	1.556101953	6.421861345	7.057255311
0.464	2.729193697	1.567213064	6.366856162	7.060255281
0.466	2.712455278	1.578324175	6.312255305	7.063396346
0.468	2.695799087	1.589435286	6.258056295	7.066678504
0.47	2.679224819	1.600546397	6.204256663	7.070101755
0.472	2.662732174	1.611657508	6.150853954	7.0736661
0.474	2.646320848	1.622768619	6.097845725	7.077371538
0.476	2.629990541	1.63387973	6.045229544	7.08121807
0.478	2.613740953	1.644990841	5.993002993	7.085205695
0.48	2.597571783	1.656101953	5.941163664	7.089334414
0.482	2.581482734	1.667213064	5.889709161	7.093604226
0.484	2.565473506	1.678324175	5.838637101	7.098015132
0.486	2.549543803	1.689435286	5.787945112	7.102567131
0.488	2.533693328	1.700546397	5.737630834	7.107260224
