xe	re	ue	pe	Ee
0.326	1	0.75	1	2.78125
0.328	1	0.75	1	2.78125
0.33	1	0.75	1	2.78125
0.332	1	0.75	1	2.78125
0.334	1	0.75	1	2.78125
0.336	1	0.75	1	2.78125
0.338	1	0.75	1	2.78125
0.34	1	0.75	1	2.78125
0.342	1	0.75	1	2.78125
0.344	1	0.75	1	2.78125
0.346	1	0.75	1	2.78125
0.348	1	0.75	1	2.78125
0.35	1	0.75	1	2.78125
0.352	1	0.75	1	2.78125
0.354	1	0.75	1	2.78125
0.356	1	0.75	1	2.78125
0.358	1	0.75	1	2.78125
0.36	1	0.75	1	2.78125
0.362	1	0.75	1	2.78125
0.364	1	0.75	1	2.78125
0.366	1	0.75	1	2.78125
0.368	1	0.75	1	2.78125
0.37	1	0.75	1	2.78125
0.372	1	0.75	1	2.78125
0.374	1	0.75	1	2.78125
0.376	1	0.75	1	2.78125
0.378	1	0.75	1	2.78125
0.38	1	0.75	1	2.78125
0.382	1	0.75	1	2.78125
0.384	1	0.75	1	2.78125
0.386	1	0.75	1	2.78125
0.388	1	0.75	1	2.78125
0.39	1	0.75	1	2.78125
0.392	1	0.75	1	2.78125
0.394	1	0.75	1	2.78125
0.396	1	0.75	1	2.78125
0.398	1	0.75	1	2.78125
0.4	1	0.75	1	2.78125
0.402	1	0.75	1	2.78125
0.404	1	0.75	1	2.78125
0.406	1	0.75	1	2.78125
0.408	1	0.75	1	2.78125
0.41	1	0.75	1	2.78125
0.412	1	0.75	1	2.78125
0.414	1	0.75	1	2.78125
0.416	1	0.75	1	2.78125
0.418	1	0.75	1	2.78125
0.42	1	0.75	1	2.78125
0.422	1	0.75	1	2.78125
0.424	1	0.75	1	2.78125
0.426	1	0.75	1	2.78125
0.428	1	0.75	1	2.78125
0.43	1	0.75	1	2.78125
0.432	1	0.75	1	2.78125
0.434	1	0.75	1	2.78125
0.436	0.995395869	0.755457742	0.993560158	2.780747694
0.438	0.98607498	0.766568853	0.980559418	2.779830276
0.44	0.976824048	0.777679964	0.967704765	2.779053951
0.442	0.967642676	0.788791075	0.954994828	2.77841872
0.444	0.958530473	0.799902186	0.942428245	2.777924582
0.446	0.949487046	0.811013297	0.930003668	2.777571538
