xe	re	ue	pe	Ee
0.202	0.426319428	-1.07254738	0.303130178	2.352779011
0.204	0.426319428	-1.07254738	0.303130178	2.352779011
0.206	0.426319428	-1.07254738	0.303130178	2.352779011
0.208	0.426319428	-1.07254738	0.303130178	2.352779011
0.21	0.426319428	-1.07254738	0.303130178	2.352779011
0.212	0.426319428	-1.07254738	0.303130178	2.352779011
0.214	0.426319428	-1.07254738	0.303130178	2.352779011
0.216	0.426319428	-1.07254738	0.303130178	2.352779011
0.218	0.426319428	-1.07254738	0.303130178	2.352779011
0.22	0.426319428	-1.07254738	0.303130178	2.352779011
0.222	0.426319428	-1.07254738	0.303130178	2.352779011
0.224	0.426319428	-1.07254738	0.303130178	2.352779011
0.226	0.426319428	-1.07254738	0.303130178	2.352779011
0.228	0.426319428	-1.07254738	0.303130178	2.352779011
0.23	0.426319428	-1.07254738	0.303130178	2.352779011
0.232	0.426319428	-1.07254738	0.303130178	2.352779011
0.234	0.426319428	-1.07254738	0.303130178	2.352779011
0.236	0.426319428	-1.07254738	0.303130178	2.352779011
0.238	0.426319428	-1.07254738	0.303130178	2.352779011
0.24	0.426319428	-1.07254738	0.303130178	2.352779011
0.242	0.426319428	-1.07254738	0.303130178	2.352779011
0.244	0.426319428	-1.07254738	0.303130178	2.352779011
0.246	0.426319428	-1.07254738	0.303130178	2.352779011
0.248	0.426319428	-1.07254738	0.303130178	2.352779011
0.25	0.426319428	-1.07254738	0.303130178	2.352779011
0.252	0.426319428	-1.07254738	0.303130178	2.352779011
0.254	0.426319428	-1.07254738	0.303130178	2.352779011
0.256	0.426319428	-1.07254738	0.303130178	2.352779011
0.258	0.426319428	-1.07254738	0.303130178	2.352779011
0.26	0.426319428	-1.07254738	0.303130178	2.352779011
0.262	0.426319428	-1.07254738	0.303130178	2.352779011
0.264	0.426319428	-1.07254738	0.303130178	2.352779011
0.266	0.426319428	-1.07254738	0.303130178	2.352779011
0.268	0.426319428	-1.07254738	0.303130178	2.352779011
0.27	0.426319428	-1.07254738	0.303130178	2.352779011
0.272	0.426319428	-1.07254738	0.303130178	2.352779011
0.274	0.426319428	-1.07254738	0.303130178	2.352779011
0.276	0.426319428	-1.07254738	0.303130178	2.352779011
0.278	0.426319428	-1.07254738	0.303130178	2.352779011
0.28	0.426319428	-1.07254738	0.303130178	2.352779011
0.282	0.426319428	-1.07254738	0.303130178	2.352779011
0.284	0.426319428	-1.07254738	0.303130178	2.352779011
0.286	0.426319428	-1.07254738	0.303130178	2.352779011
0.288	0.426319428	-1.07254738	0.303130178	2.352779011
0.29	0.426319428	-1.07254738	0.303130178	2.352779011
0.292	0.426319428	-1.07254738	0.303130178	2.352779011
0.294	0.426319428	-1.07254738	0.303130178	2.352779011
0.296	0.426319428	-1.07254738	0.303130178	2.352779011
0.298	0.426319428	-1.07254738	0.303130178	2.352779011
0.3	0.426319428	-1.07254738	0.303130178	2.352779011
0.302	0.426319428	-1.07254738	0.303130178	2.352779011
0.304	0.426319428	-1.07254738	0.303130178	2.352779011
0.306	0.426319428	-1.07254738	0.303130178	2.352779011
0.308	0.426319428	-1.07254738	0.303130178	2.352779011
0.31	0.426319428	-1.07254738	0.303130178	2.352779011
0.312	0.426319428	-1.07254738	0.303130178	2.352779011
0.314	0.426319428	-1.07254738	0.303130178	2.352779011
0.316	0.426319428	-1.07254738	0.303130178	2.352779011
0.318	0.426319428	-1.07254738	0.303130178	2.352779011
0.32	0.426319428	-1.07254738	0.303130178	2.352779011
0.322	0.426319428	-1.07254738	0.303130178	2.352779011
0.324	0.426319428	-1.07254738	0.303130178	2.352779011
0.326	0.426319428	-1.07254738	0.303130178	2.352779011
