xe	re	ue	pe	Ee
0	1	0	1	2.5
0.002	1	0	1	2.5
0.004	1	0	1	2.5
0.006	1	0	1	2.5
0.008	1	0	1	2.5
0.01	1	0	1	2.5
0.012	1	0	1	2.5
0.014	1	0	1	2.5
0.016	1	0	1	2.5
0.018	1	0	1	2.5
0.02	1	0	1	2.5
0.022	1	0	1	2.5
0.024	1	0	1	2.5
0.026	1	0	1	2.5
0.028	1	0	1	2.5
0.03	1	0	1	2.5
0.032	1	0	1	2.5
0.034	1	0	1	2.5
0.036	1	0	1	2.5
0.038	1	0	1	2.5
0.04	1	0	1	2.5
0.042	1	0	1	2.5
0.044	1	0	1	2.5
0.046	1	0	1	2.5
0.048	1	0	1	2.5
0.05	1	0	1	2.5
0.052	1	0	1	2.5
0.054	1	0	1	2.5
0.056	1	0	1	2.5
0.058	1	0	1	2.5
0.06	1	0	1	2.5
0.062	1	0	1	2.5
0.064	1	0	1	2.5
0.066	1	0	1	2.5
0.068	1	0	1	2.5
0.07	1	0	1	2.5
0.072	1	0	1	2.5
0.074	1	0	1	2.5
0.076	1	0	1	2.5
0.078	1	0	1	2.5
0.08	1	0	1	2.5
0.082	1	0	1	2.5
0.084	1	0	1	2.5
0.086	1	0	1	2.5
0.088	1	0	1	2.5
0.09	1	0	1	2.5
0.092	1	0	1	2.5
0.094	1	0	1	2.5
0.096	1	0	1	2.5
0.098	1	0	1	2.5
0.1	1	0	1	2.5
0.102	1	0	1	2.5
0.104	1	0	1	2.5
0.106	1	0	1	2.5
0.108	1	0	1	2.5
0.11	1	0	1	2.5
0.112	1	0	1	2.5
0.114	1	0	1	2.5
0.116	1	0	1	2.5
0.118	1	0	1	2.5
0.12	1	0	1	2.5
0.122	1	0	1	2.5
0.124	1	0	1	2.5
0.126	1	0	1	2.5
0.128	1	0	1	2.5
0.13	1	0	1	2.5
0.132	1	0	1	2.5
0.134	1	0	1	2.5
0.136	1	0	1	2.5
0.138	1	0	1	2.5
0.14	1	0	1	2.5
0.142	1	0	1	2.5
0.144	1	0	1	2.5
0.146	1	0	1	2.5
0.148	1	0	1	2.5
0.15	1	0	1	2.5
0.152	1	0	1	2.5
0.154	1	0	1	2.5
0.156	1	0	1	2.5
0.158	1	0	1	2.5
0.16	1	0	1	2.5
0.162	1	0	1	2.5
0.164	1	0	1	2.5
0.166	1	0	1	2.5
0.168	1	0	1	2.5
0.17	1	0	1	2.5
0.172	1	0	1	2.5
0.174	1	0	1	2.5
0.176	1	0	1	2.5
0.178	1	0	1	2.5
0.18	1	0	1	2.5
0.182	1	0	1	2.5
0.184	1	0	1	2.5
0.186	1	0	1	2.5
0.188	1	0	1	2.5
0.19	1	0	1	2.5
0.192	1	0	1	2.5
0.194	1	0	1	2.5
0.196	1	0	1	2.5
0.198	1	0	1	2.5
0.2	1	0	1	2.5
0.202	1	0	1	2.5
0.204	1	0	1	2.5
0.206	1	0	1	2.5
0.208	1	0	1	2.5
0.21	1	0	1	2.5
0.212	1	0	1	2.5
0.214	1	0	1	2.5
0.216	1	0	1	2.5
0.218	1	0	1	2.5
0.22	1	0	1	2.5
0.222	1	0	1	2.5
0.224	1	0	1	2.5
0.226	1	0	1	2.5
0.228	1	0	1	2.5
0.23	1	0	1	2.5
0.232	1	0	1	2.5
0.234	1	0	1	2.5
0.236	1	0	1	2.5
0.238	1	0	1	2.5
0.24	1	0	1	2.5
0.242	1	0	1	2.5
0.244	1	0	1	2.5
0.246	1	0	1	2.5
0.248	1	0	1	2.5
0.25	1	0	1	2.5
0.252	1	0	1	2.5
0.254	1	0	1	2.5
0.256	1	0	1	2.5
0.258	1	0	1	2.5
0.26	1	0	1	2.5
0.262	1	0	1	2.5
0.264	1	0	1	2.5
0.266	1	0	1	2.5
0.268	1	0	1	2.5
0.27	1	0	1	2.5
0.272	1	0	1	2.5
0.274	1	0	1	2.5
0.276	1	0	1	2.5
0.278	1	0	1	2.5
0.28	1	0	1	2.5
0.282	1	0	1	2.5
0.284	1	0	1	2.5
0.286	1	0	1	2.5
0.288	1	0	1	2.5
0.29	1	0	1	2.5
0.292	1	0	1	2.5
0.294	1	0	1	2.5
0.296	1	0	1	2.5
0.298	1	0	1	2.5
0.3	1	0	1	2.5
0.302	1	0	1	2.5
0.304	1	0	1	2.5
0.306	1	0	1	2.5
0.308	1	0	1	2.5
0.31	1	0	1	2.5
0.312	1	0	1	2.5
0.314	1	0	1	2.5
0.316	1	0	1	2.5
0.318	1	0	1	2.5
0.32	1	0	1	2.5
0.322	1	0	1	2.5
0.324	0.993059067	0.008235519	0.990296202	2.493078472
0.326	0.983755704	0.019346631	0.977332113	2.483862994
0.328	0.974522199	0.030457742	0.964513767	2.47478861
0.33	0.965358156	0.041568853	0.951839795	2.465855318
0.332	0.956263183	0.052679964	0.939308841	2.457063121
0.334	0.94723689	0.063791075	0.926919555	2.448412017
0.336	0.938278886	0.074902186	0.914670602	2.439902006
0.338	0.929388783	0.086013297	0.902560654	2.431533089
0.34	0.920566194	0.097124408	0.890588394	2.423305265
0.342	0.911810734	0.108235519	0.878752515	2.415218535
0.344	0.90312202	0.119346631	0.86705172	2.407272898
0.346	0.894499669	0.130457742	0.855484722	2.399468355
0.348	0.885943299	0.141568853	0.844050242	2.391804905
0.35	0.877452533	0.152679964	0.832747015	2.384282548
0.352	0.869026991	0.163791075	0.821573781	2.376901285
0.354	0.860666297	0.174902186	0.810529293	2.369661116
